title,content,level,questions,created_at
A Busy Day!,"Today is Sunday! On Sundays, I usually play the flute. My father usually reads the newspaper. My mother usually cleans the house. But today my mother is in bed. She is ill. My father has to do the housework. Now, he is cleaning the house. ""Sam, can you help me?"" ""Yes, Dad!"" Now, we're washing the car. Where's my sister, Amy? She is playing my flute. What a lucky girl!",小学,"[{""question"": ""What day is it today?"", ""options"": [""Saturday"", ""Sunday"", ""Monday"", ""Friday""], ""answer"": ""Sunday""}, {""question"": ""What does Sam's father usually do on Sundays?"", ""options"": [""Cleans the house"", ""Plays the flute"", ""Reads the newspaper"", ""Washes the car""], ""answer"": ""Reads the newspaper""}, {""question"": ""Why is Sam's father doing the housework today?"", ""options"": [""Because he likes it"", ""Because Sam is lazy"", ""Because the mother is ill"", ""Because it is Sunday""], ""answer"": ""Because the mother is ill""}, {""question"": ""What are Sam and his father doing now?"", ""options"": [""Playing the flute"", ""Washing the car"", ""Reading the newspaper"", ""Sleeping""], ""answer"": ""Washing the car""}, {""question"": ""What is Amy doing?"", ""options"": [""Helping her father"", ""Cleaning the house"", ""Playing the flute"", ""Washing the car""], ""answer"": ""Playing the flute""}]",2025-12-20 07:14:06.869138+00
Two New Schoolkids,"We have two new kids in our school. They are Mike and Tim. They look the same, but they are not twins. Mike is American. He is twelve. He is in Class Four. He has a little sister. He often looks after her. Tim is Canadian. He is twelve, too. He is in Class One. He likes football. He often plays football with Mike. Mike and Tim are good friends. They are in No. 10 Middle School.",小学,"[{""question"": ""Are Mike and Tim twins?"", ""options"": [""Yes, they are"", ""No, they aren't"", ""We don't know"", ""Only Mike is""], ""answer"": ""No, they aren't""}, {""question"": ""Where is Tim from?"", ""options"": [""America"", ""China"", ""England"", ""Canada""], ""answer"": ""Canada""}, {""question"": ""How old are the two boys?"", ""options"": [""Ten"", ""Eleven"", ""Twelve"", ""Thirteen""], ""answer"": ""Twelve""}, {""question"": ""What sport do they often play together?"", ""options"": [""Basketball"", ""Football"", ""Tennis"", ""Table tennis""], ""answer"": ""Football""}]",2025-12-20 07:14:06.869138+00
Twins' Bedroom,"This is the twins' bedroom. It is a nice room. The two beds look the same. This bed is Lily's and that one is Lucy's. The twins have one desk and two chairs. Their clock, books and pencilboxes are on the desk. Their schoolbags are behind the chairs. Some nice flowers are on the desk. Some nice pictures are on the wall. Is there a kite? Yes, it's under Lily's bed. The bedroom is very nice.",小学,"[{""question"": ""Whose room is it?"", ""options"": [""Lily and Lucy's"", ""Sam's"", ""The parents'"", ""Tim's""], ""answer"": ""Lily and Lucy's""}, {""question"": ""Where are the schoolbags?"", ""options"": [""On the desk"", ""Under the bed"", ""Behind the chairs"", ""On the wall""], ""answer"": ""Behind the chairs""}, {""question"": ""How many desks are there in the room?"", ""options"": [""One"", ""Two"", ""Three"", ""None""], ""answer"": ""One""}, {""question"": ""Where is the kite?"", ""options"": [""On the wall"", ""Under the bed"", ""On the desk"", ""Behind the chair""], ""answer"": ""Under the bed""}]",2025-12-20 07:14:06.869138+00
Soup,"Father and Sam are sitting at the table. They are having their dinner. ""I don't like this soup. I don't want any,"" says Sam, and puts down the spoon. ""All right,"" says Father. After dinner, Sam works in the field with his father. They work very hard. In the evening, Father gives him a bowl of soup. ""Oh, the soup is very nice,"" Sam says. ""It's the same soup,"" says his father.",小学,"[{""question"": ""What are Father and Sam doing at the beginning?"", ""options"": [""Working in the field"", ""Having dinner"", ""Playing"", ""Sleeping""], ""answer"": ""Having dinner""}, {""question"": ""Why did Sam put down the spoon?"", ""options"": [""He wasn't hungry"", ""The spoon was dirty"", ""He didn't like the soup"", ""He wanted to work""], ""answer"": ""He didn't like the soup""}, {""question"": ""What did they do after dinner?"", ""options"": [""Watched TV"", ""Slept"", ""Worked in the field"", ""Went to a shop""], ""answer"": ""Worked in the field""}, {""question"": ""How did Sam feel about the soup in the evening?"", ""options"": [""He still hated it"", ""He thought it was nice"", ""He didn't drink it"", ""He wanted more salt""], ""answer"": ""He thought it was nice""}]",2025-12-20 07:14:06.869138+00
A Shop,"Near my house there is a big shop. There are a lot of things in it. They are clothes, sweaters, shoes, bikes, food, school things, and many other things. The things are very cheap. The people in the shop are very friendly. All the people like shopping there.",小学,"[{""question"": ""Where is the big shop?"", ""options"": [""Near the school"", ""Far from the house"", ""Near the house"", ""In the city center""], ""answer"": ""Near the house""}, {""question"": ""What can you buy in the shop?"", ""options"": [""Only food"", ""Only clothes"", ""Many things like bikes and shoes"", ""Only school things""], ""answer"": ""Many things like bikes and shoes""}, {""question"": ""Are the things in the shop expensive?"", ""options"": [""Yes, they are"", ""No, they are cheap"", ""Some are expensive"", ""We don't know""], ""answer"": ""No, they are cheap""}, {""question"": ""Why do people like shopping there?"", ""options"": [""Because it's big"", ""Because the people are friendly"", ""Because it's near"", ""Because it's new""], ""answer"": ""Because the people are friendly""}]",2025-12-20 07:14:06.869138+00
The Name of a Woman,"A little girl couldn't find her way home. When she was crying, a policeman asked her, ""Who is with you?"" The girl answered, ""Mummy."" Then the policeman asked, ""What is her name?"" The girl answered, ""Well, she has several names. I call her Mummy. Dad calls her Honey. Granny calls her Jenny.""",小学,"[{""question"": ""Why was the little girl crying?"", ""options"": [""She was hungry"", ""She lost her toy"", ""She couldn't find her way home"", ""She was afraid of the policeman""], ""answer"": ""She couldn't find her way home""}, {""question"": ""Who helped the little girl?"", ""options"": [""Her dad"", ""A policeman"", ""Her granny"", ""A teacher""], ""answer"": ""A policeman""}, {""question"": ""What does the girl's father call her mother?"", ""options"": [""Mummy"", ""Jenny"", ""Honey"", ""Sister""], ""answer"": ""Honey""}, {""question"": ""What is the mother's real name according to Granny?"", ""options"": [""Honey"", ""Mummy"", ""Jenny"", ""The story doesn't say""], ""answer"": ""Jenny""}]",2025-12-20 07:14:06.869138+00
The Snowman,"It's winter now. It's very cold in the morning. It's all white outside because it snowed yesterday. Mr. Dog and Miss Cat get up very early. After breakfast, Mr. Dog wants to watch TV. But Miss Cat says, ""Oh dear! It's very nice outside. Let's make a snowman."" Making a snowman isn't very easy, so they work hard. Oh, how nice the snowman is! Mr. Dog puts his hat on the snowman's head. After that, they are very hungry. Their lunch is some fish, some bones and a big cake. Mr. Dog says, ""It's the middle of the day. The snowman must be hungry. Let's give the cake to him."" ""All right!"" says Miss Cat. But the snowman isn't there. They can only see the hat. Where is he?",小学,"[{""question"": ""What season is it in the story?"", ""options"": [""Spring"", ""Summer"", ""Autumn"", ""Winter""], ""answer"": ""Winter""}, {""question"": ""What did Mr. Dog and Miss Cat make?"", ""options"": [""A cake"", ""A snowman"", ""A house"", ""A hat""], ""answer"": ""A snowman""}, {""question"": ""What did Mr. Dog put on the snowman's head?"", ""options"": [""A scarf"", ""A cake"", ""His hat"", ""A fish""], ""answer"": ""His hat""}, {""question"": ""What happened to the snowman at the end?"", ""options"": [""He ate the cake"", ""He ran away"", ""He was gone"", ""He was sleeping""], ""answer"": ""He was gone""}]",2025-12-20 07:14:06.869138+00
The Best Job,"Betty is a lazy girl. She doesn't study hard, and she doesn't help her mother with the housework, either. ""What are you going to be when you grow up, Betty?"" Mother asks. ""You're too lazy. No job will ever fit you."" ""But I know one,"" says the girl, ""I'm going to be Father Christmas."" ""You want to be Father Christmas?"" Mother is surprised, ""But why?"" ""Because he works only one day in a whole year.""",小学,"[{""question"": ""What is Betty like?"", ""options"": [""Hard-working"", ""Lazy"", ""Friendly"", ""Clever""], ""answer"": ""Lazy""}, {""question"": ""Does Betty help her mother with housework?"", ""options"": [""Yes, she does"", ""No, she doesn't"", ""Sometimes"", ""Often""], ""answer"": ""No, she doesn't""}, {""question"": ""What does Betty want to be when she grows up?"", ""options"": [""A teacher"", ""A doctor"", ""Father Christmas"", ""A worker""], ""answer"": ""Father Christmas""}, {""question"": ""Why does Betty want that job?"", ""options"": [""She likes kids"", ""She likes gifts"", ""Because he only works one day a year"", ""Because she likes snow""], ""answer"": ""Because he only works one day a year""}]",2025-12-20 07:14:06.869138+00
Jimmy and a Salesman,"Jimmy is sitting on the steps in front of a house. A salesman comes up and asks him, “Hi, boy, is your mother at home?"" ""Yes,"" says Jimmy. The salesman is very happy. He begins to ring the doorbell. He rings and rings, but there is no answer. At last, he turns to Jimmy and says, ""You told me your mother is at home, didn't you?"" ""Yes, I did,"" says the boy, ""but did I tell you this is my house?""",小学,"[{""question"": ""Where is Jimmy sitting?"", ""options"": [""In the park"", ""On the steps in front of a house"", ""In a shop"", ""In his bedroom""], ""answer"": ""On the steps in front of a house""}, {""question"": ""Why did the salesman ring the doorbell?"", ""options"": [""He wanted to see Jimmy"", ""He thought the mother was home"", ""He was hungry"", ""The door was open""], ""answer"": ""He thought the mother was home""}, {""question"": ""Was there anyone in the house?"", ""options"": [""Yes, the mother"", ""Yes, Jimmy's dad"", ""No, no one answered"", ""Yes, a dog""], ""answer"": ""No, no one answered""}, {""question"": ""Is that Jimmy's house?"", ""options"": [""Yes, it is"", ""No, it isn't"", ""Maybe"", ""It's his friend's house""], ""answer"": ""No, it isn't""}]",2025-12-20 07:14:06.869138+00
What Are Stars Like?,"Have you ever wondered about the stars? In some ways, stars are like people. They are born. They grow old. And they die. A star is born from dust and gas. Slowly the dust and gas make a ball. The ball gets very hot. Then it starts to give off light. The young star grows into a giant. Many years go by. The older star begins to get small again. At last its light goes out. The star's life is over.",小学,"[{""question"": ""What are stars compared to in the story?"", ""options"": [""Animals"", ""People"", ""Flowers"", ""Bikes""], ""answer"": ""People""}, {""question"": ""What is a star born from?"", ""options"": [""Water and air"", ""Dust and gas"", ""Fire and light"", ""Rocks""], ""answer"": ""Dust and gas""}, {""question"": ""What happens when a star gets very hot?"", ""options"": [""It dies"", ""It gets small"", ""It starts to give off light"", ""It becomes cold""], ""answer"": ""It starts to give off light""}, {""question"": ""What happens when the light goes out?"", ""options"": [""The star grows"", ""The star's life is over"", ""The star turns blue"", ""The star gets bigger""], ""answer"": ""The star's life is over""}]",2025-12-20 07:14:06.869138+00
How Do Mail Carriers Keep Dogs Away?,Mail carriers and dogs are not always good friends. Sometimes dogs bite. But mail carriers are doing something about this. Some mail carriers use a whistle. The whistle makes a loud sound. Only dogs can hear it. They do not like it. So they run away fast. Other mail carriers use dog candy. They hope that dogs like the candy. Then the dogs will not bite them.,小学,"[{""question"": ""Why are mail carriers and dogs not always friends?"", ""options"": [""Dogs bark"", ""Dogs bite"", ""Mail carriers are loud"", ""Dogs are lazy""], ""answer"": ""Dogs bite""}, {""question"": ""Who can hear the sound of the whistle?"", ""options"": [""Everyone"", ""Only mail carriers"", ""Only dogs"", ""No one""], ""answer"": ""Only dogs""}, {""question"": ""What do dogs do when they hear the whistle?"", ""options"": [""They dance"", ""They bite"", ""They run away fast"", ""They sleep""], ""answer"": ""They run away fast""}, {""question"": ""What is the other thing mail carriers use?"", ""options"": [""Water"", ""Dog candy"", ""A stick"", ""A bag""], ""answer"": ""Dog candy""}]",2025-12-20 07:14:06.869138+00
An Old Woman and Her Cats,"There is an old woman in England. She doesn't like children at all. But she loves cats. She has black cats and white cats. She has mother cats and baby cats. So the children like to come to her house. They come to play with the cats. More and more cats come to the old woman's house. Soon there are too many cats and the old woman can't feed them at all. Then she has an idea. ""The children love my cats,"" she thinks. So she gives each child a cat. Then she is happy, the children are happy, and the cats are happy, too, because they each have a home.",小学,"[{""question"": ""Does the old woman like children at first?"", ""options"": [""Yes, very much"", ""No, she doesn't"", ""Sometimes"", ""We don't know""], ""answer"": ""No, she doesn't""}, {""question"": ""Why do children come to her house?"", ""options"": [""To see the woman"", ""To play with the cats"", ""To eat cake"", ""To help with housework""], ""answer"": ""To play with the cats""}, {""question"": ""What was the woman's problem?"", ""options"": [""She had no food"", ""She had too many cats"", ""She was ill"", ""The house was too big""], ""answer"": ""She had too many cats""}, {""question"": ""What did she do with the cats?"", ""options"": [""Sold them"", ""Gave them to the children"", ""Put them in the street"", ""Kept them all""], ""answer"": ""Gave them to the children""}]",2025-12-20 07:14:06.869138+00
Father's Hobby,"My dad works from Monday to Friday in a bank. He uses the computer to count money. His job is very important. So he is an important man in the bank. Dad is also busy at home. At weekends he cooks dinner. Usually he cooks Italian food. On Saturdays he makes spaghetti. On Sundays he fixes pizza. Sometimes he cooks chicken and makes Chinese food. My mum watches and helps. I help my dad, too. I wash the dishes. Many people think it is strange for a man to cook. My dad enjoys his hobby. Cooking relaxes him. He is a weekend cook.",小学,"[{""question"": ""Where does the father work?"", ""options"": [""In a school"", ""In a bank"", ""In a restaurant"", ""At home""], ""answer"": ""In a bank""}, {""question"": ""What does he do on Sundays?"", ""options"": [""Makes spaghetti"", ""Fixes pizza"", ""Works in the bank"", ""Washes dishes""], ""answer"": ""Fixes pizza""}, {""question"": ""How does the speaker help the father?"", ""options"": [""By cooking"", ""By washing the dishes"", ""By counting money"", ""By watching TV""], ""answer"": ""By washing the dishes""}, {""question"": ""How does the father feel about cooking?"", ""options"": [""It's hard work"", ""It's strange"", ""It relaxes him"", ""He doesn't like it""], ""answer"": ""It relaxes him""}]",2025-12-20 07:14:06.869138+00
Be My Friends,My name is Bob. I'm from America. Now I live in Shanghai with my parents. I study Chinese in a school in Shanghai. There are 25 students in my class. My Chinese teacher is Ms. Li. She is a nice old lady. We have four lessons a day. Now I can speak a little Chinese. I have many Chinese friends. We often play ball games after school.,小学,"[{""question"": ""Where is Bob from?"", ""options"": [""China"", ""America"", ""Canada"", ""England""], ""answer"": ""America""}, {""question"": ""How many students are there in his class?"", ""options"": [""20"", ""25"", ""30"", ""15""], ""answer"": ""25""}, {""question"": ""Who is Ms. Li?"", ""options"": [""Bob's mother"", ""A student"", ""His Chinese teacher"", ""A doctor""], ""answer"": ""His Chinese teacher""}, {""question"": ""What do they do after school?"", ""options"": [""Study Chinese"", ""Sleep"", ""Play ball games"", ""Go home""], ""answer"": ""Play ball games""}]",2025-12-20 07:14:06.869138+00
Two Bicycles,"I have a bicycle. Lucy has a bicycle, too. Her bicycle is as big as mine. Lucy's bicycle is an English bicycle. It's very light. Mine isn't an English one. It's heavy. It's much heavier than Lucy's. We like the road by West Lake. It's a road only for bicycles. West Lake is very large. It's larger than East Lake. It's the largest of the four lakes in Madison. The city is between East Lake and West Lake.",小学,"[{""question"": ""Whose bicycle is light?"", ""options"": [""The speaker's"", ""Lucy's"", ""Sam's"", ""The father's""], ""answer"": ""Lucy's""}, {""question"": ""Where do they like to ride their bicycles?"", ""options"": [""In the city center"", ""By West Lake"", ""By East Lake"", ""In the school""], ""answer"": ""By West Lake""}, {""question"": ""Which lake is the largest in Madison?"", ""options"": [""East Lake"", ""West Lake"", ""Middle Lake"", ""North Lake""], ""answer"": ""West Lake""}, {""question"": ""Is the speaker's bicycle heavier than Lucy's?"", ""options"": [""Yes, it is"", ""No, it isn't"", ""They are the same"", ""We don't know""], ""answer"": ""Yes, it is""}]",2025-12-20 07:14:06.869138+00
My Special Friend,"I have a friend in the U.S. His name is Don Adams. I know him very well, but I have never met him. We write to each other all the time. My letters are very short. It is still hard for me to write in English. I received a letter from Don yesterday. It makes me very happy. He is coming to my country for a visit next summer. We are going to see each other for the first time.",小学,"[{""question"": ""Where does Don Adams live?"", ""options"": [""In the UK"", ""In the U.S."", ""In China"", ""In Canada""], ""answer"": ""In the U.S.""}, {""question"": ""Have the two friends ever met?"", ""options"": [""Yes, many times"", ""No, never"", ""Once"", ""Twice""], ""answer"": ""No, never""}, {""question"": ""Why are the speaker's letters short?"", ""options"": [""He is lazy"", ""He has no time"", ""It's hard to write in English"", ""He doesn't like Don""], ""answer"": ""It's hard to write in English""}, {""question"": ""When is Don coming to visit?"", ""options"": [""Next winter"", ""Next summer"", ""Tomorrow"", ""Next week""], ""answer"": ""Next summer""}]",2025-12-20 07:14:06.869138+00
A Friendly American Family,"The Smiths are Americans. They are now in Beijing. This is their first visit to China. They are going to stay in China for two months. They want to visit some cities and villages. They hope to learn some Chinese, too. Mr. Smith is a doctor. He will visit a hospital in Shanghai. Mrs. Smith is a schoolteacher. She is going to visit some city schools and village schools. Their daughter is a middle school student. She wants to meet some Chinese students. They are going to take a lot of pictures in China. When they are back in America, they will show the pictures to their American friends. They want the American people to know more about China.",小学,"[{""question"": ""How long will the Smiths stay in China?"", ""options"": [""One month"", ""Two months"", ""Three months"", ""A year""], ""answer"": ""Two months""}, {""question"": ""What does Mr. Smith do?"", ""options"": [""A teacher"", ""A doctor"", ""A worker"", ""A student""], ""answer"": ""A doctor""}, {""question"": ""Who is a middle school student?"", ""options"": [""Mr. Smith"", ""Mrs. Smith"", ""The daughter"", ""The son""], ""answer"": ""The daughter""}, {""question"": ""Why will they show pictures to their friends?"", ""options"": [""To sell them"", ""To make them happy"", ""To let them know more about China"", ""Because they are beautiful""], ""answer"": ""To let them know more about China""}]",2025-12-20 07:14:06.869138+00
Visit Shanghai,"Today, I'm going to show Mr. Li around Shanghai. This is one of the biggest and busiest cities in China. I live and work here. I know Shanghai very well, but Mr. Li doesn't know it well. He is from Beijing. He knows the north of China well but he doesn't know much about the south. My parents live in Beijing too, and they know Mr. Li very well. I've got a plan for today. This morning we are going to visit Nanpu Bridge and Yangpu Bridge by taxi. It is cheaper to take a bus, but a taxi goes much faster. Before lunch we are also going to Yu Garden, and we are going to have lunch there. This afternoon we are going to Pudong. We are going to have dinner in my house. After dinner we are going to a concert at Shanghai Concert Hall. What a busy day!",小学,"[{""question"": ""Where is Mr. Li from?"", ""options"": [""Shanghai"", ""Beijing"", ""Nanjing"", ""London""], ""answer"": ""Beijing""}, {""question"": ""How will they go to the bridges?"", ""options"": [""By bus"", ""By taxi"", ""On foot"", ""By bike""], ""answer"": ""By taxi""}, {""question"": ""Where will they have lunch?"", ""options"": [""In a house"", ""In Yu Garden"", ""On the bridge"", ""In the concert hall""], ""answer"": ""In Yu Garden""}, {""question"": ""What will they do after dinner?"", ""options"": [""Go to a concert"", ""Visit Pudong"", ""Sleep"", ""Go to Yu Garden""], ""answer"": ""Go to a concert""}]",2025-12-20 07:14:06.869138+00
A Sports Lover,"Judy works in a sports shop. She loves all kinds of sports. She can swim and skate very well. She often plays basketball and volleyball. These days, she is taking tennis lessons at a tennis club. She goes to the club on the weekend. There she meets Kate and Joan. The three of them become good friends. Kate and Joan started their tennis lessons earlier than Judy, but Judy learns the fastest. Now she plays the best of the three. ""You must take part in the tennis match in our town next year,"" Kate says to Judy. ""But I have sports only for exercise and fun, you know,"" Judy answers.",小学,"[{""question"": ""Where does Judy work?"", ""options"": [""In a school"", ""In a sports shop"", ""In a hospital"", ""In a club""], ""answer"": ""In a sports shop""}, {""question"": ""What lessons is Judy taking now?"", ""options"": [""Swimming"", ""Skating"", ""Tennis"", ""Basketball""], ""answer"": ""Tennis""}, {""question"": ""Who plays tennis the best of the three?"", ""options"": [""Kate"", ""Joan"", ""Judy"", ""The teacher""], ""answer"": ""Judy""}, {""question"": ""Why does Judy play sports?"", ""options"": [""To win matches"", ""For exercise and fun"", ""To earn money"", ""Because she has no job""], ""answer"": ""For exercise and fun""}]",2025-12-20 07:14:06.869138+00
The Sea,"What do you know about the sea? Some people have seen it but others haven't. The sea looks beautiful on a fine sunny day and it can be very rough when there is a strong wind. What other things do you know about it? Of course, the sea is very large. In the world there is more sea than land. If you have swum in the sea, you know that the sea is salty. Rivers carry salt from the land into the sea. Some places of the sea are saltier than the other places. Do you know the Dead Sea? It is so salty that you can't sink when you are in the water! And fish cannot live in it!",小学,"[{""question"": ""Is there more land or more sea in the world?"", ""options"": [""More land"", ""More sea"", ""They are the same"", ""We don't know""], ""answer"": ""More sea""}, {""question"": ""Why is the sea salty?"", ""options"": [""Because of the fish"", ""Because of the rain"", ""Rivers carry salt into it"", ""People put salt in it""], ""answer"": ""Rivers carry salt into it""}, {""question"": ""Can you sink in the Dead Sea?"", ""options"": [""Yes, easily"", ""No, you can't"", ""Only in winter"", ""If you are heavy""], ""answer"": ""No, you can't""}, {""question"": ""Why can't fish live in the Dead Sea?"", ""options"": [""It's too cold"", ""It's too deep"", ""It's too salty"", ""There is no food""], ""answer"": ""It's too salty""}]",2025-12-20 07:14:06.869138+00
